Y,X,Z
175,-20,-174
174,-20,-173
174,-20,-174
-145,-16,-6
173,-18,-174
-145,-17,-6
-146,-16,-6
-145,-17,-6
173,-23,-173
-147,-16,-5
173,-25,-172
-149,-11,-3
-150,-13,-4
176,-23,-173
-149,-16,-4
175,-24,-173
-152,-17,-4
-153,-18,-3
-154,-17,-4
-153,-18,-4
-155,-17,-3
-156,-16,-3
-158,-17,-3
-157,-17,-4
-157,-17,-3
-158,-15,-2
-157,-16,-3
-158,-16,-3
-158,-17,-3
-156,-19,-4
-156,-17,-3
-156,-15,-4
-156,-14,-4
-154,-14,-4
-157,-17,-4
-155,-14,-4
-153,-15,-5
-154,-14,-4
-152,-15,-5
-152,-12,-4
-151,-12,-4
-152,-10,-4
-151,-12,-5
-149,-11,-4
-148,-12,-5
-147,-14,-6
-146,-11,-5
-147,-12,-5
-146,-12,-5
167,-29,-169
-145,-14,-6
-146,-14,-6
-148,-17,-5
-149,-15,-4
-150,-16,-5
172,-29,-170
171,-28,-170
-147,-19,-6
-147,-20,-6
-147,-20,-6
-149,-19,-5
174,-25,-171
173,-25,-171
174,-24,-171
-148,-21,-6
175,-24,-171
-147,-23,-6
173,-23,-172
175,-23,-172
-146,-24,-7
174,-23,-171
-146,-24,-7
-145,-26,-8
-145,-24,-7
-146,-25,-8
-144,-25,-8
-147,-24,-7
-145,-24,-7
-145,-23,-7
-144,-23,-8
-143,-26,-9
-145,-23,-8
-143,-24,-8
-145,-23,-7
-143,-26,-9
-143,-25,-9
-142,-25,-8
170,-22,-170
-141,-26,-10
-141,-27,-10
-141,-26,-9
-141,-25,-9
-139,-26,-10
-140,-26,-10
-139,-26,-10
-137,-27,-11
-138,-25,-10
-134,-29,-13
-136,-27,-12
-138,-26,-10
-137,-27,-12
-138,-23,-10
167,-15,-171
-138,-25,-11
-136,-27,-13
-138,-26,-11
-137,-28,-13
-137,-25,-12
-138,-25,-11
-137,-27,-12
-137,-28,-13
-138,-29,-12
-141,-26,-10
171,-18,-172
-138,-30,-13
-140,-29,-11
-140,-29,-11
-140,-32,-12
-139,-33,-13
-138,-32,-12
-139,-32,-12
-140,-32,-12
-139,-34,-13
174,-16,-173
-143,-30,-10
-141,-33,-12
174,-13,-173
-139,-33,-13
-136,-37,-17
173,-19,-173
-134,-39,-20
174,-22,-173
174,-23,-172
-131,-42,-24
-132,-43,-23
-131,-43,-24
-133,-41,-23
-131,-40,-22
-132,-41,-23
-133,-40,-21
-134,-39,-20
-137,-37,-18
-139,-33,-14
-138,-33,-13
-138,-33,-12
-137,-30,-10
-138,-27,-7
-143,-29,-6
-170,-4,-176
-160,-13,0
-157,-10,0
-157,-9,0
-156,-8,-1
-132,-19,-6
-159,-9,0
-160,-9,0
-133,-18,-6
-155,-6,0
-135,-19,-6
-158,-10,0
-159,-5,0
-162,-8,0
-134,-21,-9
-163,-17,-1
-137,-26,-12
-172,-1,10
-173,-1,9
-135,-27,-12
-138,-28,-11
-174,15,10
-136,-26,-11
-171,30,10
-141,-27,-11
-144,-29,-10
-147,-27,-8
-177,37,5
-176,42,4
-178,46,3
-179,44,2
178,44,2
-158,-23,-3
-158,-16,-2
-159,-14,-2
-159,-15,-2
-161,-11,-1
-160,-6,-1
-179,49,0
-162,0,0
-161,5,0
-177,53,0
-175,51,2
-160,10,0
-160,13,1
-160,14,0
-159,11,1
-157,12,1
-158,12,0
-157,14,2
-158,13,1
-157,16,2
-157,15,2
-157,14,1
-156,13,0
-155,17,1
-153,15,0
-153,16,0
-154,17,0
-153,19,1
-152,19,1
-151,22,2
-151,23,2
-152,20,1
-151,20,2
-152,18,1
-152,14,0
-151,14,0
-153,11,-1
-154,11,-1
-153,6,-4
-156,9,-2
-156,8,-2
-157,4,-5
-157,-1,-10
-134,39,14
-132,39,14
-132,38,13
-132,38,13
-133,36,13
-130,38,15
-136,31,9
-133,34,13
-159,3,-5
-133,28,10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-158,-37,-20
-163,-32,-16
-165,-29,-15
-168,-29,-15
-167,-32,-16
-168,-28,-15
-170,-27,-15
-168,-25,-15
-168,-27,-16
-169,-26,-15
-167,-28,-16
-168,-25,-16
-167,-27,-17
-168,-27,-18
-167,-27,-18
-167,-26,-18
-166,-30,-20
-168,-26,-19
-167,-28,-20
-168,-30,-20
-168,-32,-20
-172,-32,-19
-173,-34,-18
-176,-34,-16
-178,-35,-16
-178,-37,-15
-179,-35,-14
179,-36,-14
179,-37,-14
178,-37,-14
177,-36,-14
178,-37,-14
176,-37,-14
0,0,0
177,-28,-15
179,-38,-16
-179,-37,-17
0,0,0
177,-35,-16
175,-33,-16
178,-30,-17
174,-36,-16
0,0,0
0,0,0
0,0,0
0,0,0
176,-30,-17
176,-32,-17
175,-31,-17
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
174,-35,-17
173,-34,-18
175,-35,-18
175,-34,-19
175,-32,-19
176,-32,-20
176,-33,-21
176,-32,-21
177,-31,-22
178,-33,-22
178,-29,-23
177,-29,-23
179,-28,-25
179,-28,-25
178,-28,-25
178,-29,-25
177,-30,-25
178,-28,-24
177,-28,-24
176,-29,-24
176,-26,-24
177,-24,-24
176,-28,-23
177,-25,-23
0,0,0
175,-20,-22
173,-25,-20
172,-25,-21
172,-25,-19
0,0,0
171,-25,-18
171,-24,-18
170,-23,-18
171,-22,-18
0,0,0
170,-21,-17
0,0,0
169,-19,-18
169,-17,-18
169,-18,-17
0,0,0
167,-18,-16
0,0,0
0,0,0
165,-24,-13
165,-23,-12
165,-20,-13
0,0,0
0,0,0
167,-21,-12
0,0,0
168,-21,-13
167,-22,-12
166,-24,-11
164,-28,-9
164,-27,-10
164,-26,-10
153,-8,8
165,-27,-10
163,-31,-8
163,-32,-8
