Y,X,Z
-148,-33,-18
-149,-35,-19
-150,-34,-19
-148,-32,-18
-150,-32,-17
-147,-32,-17
-147,-36,-19
-148,-36,-19
-144,-36,-21
-144,-37,-20
-145,-36,-20
-146,-35,-18
-144,-36,-19
-145,-37,-20
-146,-35,-18
-144,-36,-19
-145,-37,-20
-145,-36,-18
-145,-38,-20
-146,-36,-18
-148,-38,-20
-145,-36,-19
-146,-38,-20
-145,-37,-20
-145,-37,-20
-146,-37,-19
-143,-37,-20
-148,-36,-19
-144,-35,-20
-144,-38,-20
-144,-38,-20
-143,-37,-21
-143,-37,-21
-145,-35,-19
-143,-38,-21
-142,-37,-21
-143,-37,-21
-142,-38,-22
-144,-38,-21
-144,-35,-19
-145,-35,-19
-144,-39,-22
-144,-37,-21
-145,-37,-20
-143,-38,-21
-144,-38,-21
-142,-39,-22
-143,-37,-21
-143,-37,-21
-145,-37,-20
-143,-37,-21
-144,-38,-20
-143,-38,-21
-143,-38,-21
-141,-35,-21
-143,-38,-22
-142,-37,-21
-143,-39,-23
-142,-36,-22
-142,-39,-23
-144,-38,-21
-141,-40,-24
-143,-38,-22
-141,-39,-23
-143,-35,-20
-141,-38,-22
-140,-34,-20
-140,-38,-22
-140,-38,-22
-139,-38,-22
-142,-36,-23
-143,-35,-22
-143,-32,-21
-143,-32,-20
-144,-32,-19
-146,-29,-15
-147,-30,-15
-147,-32,-15
-148,-31,-13
-148,-31,-13
-148,-32,-13
-148,-31,-11
-148,-31,-11
-148,-30,-10
-148,-31,-11
-152,-28,-9
-153,-28,-10
-150,-29,-11
-150,-28,-11
-147,-29,-15
-147,-28,-14
-149,-23,-13
-146,-25,-15
-145,-26,-17
-145,-25,-17
-142,-23,-17
-142,-22,-17
-139,-21,-18
-139,-19,-19
-140,-20,-18
-144,-24,-20
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-141,-14,-20
-141,-15,-20
0,0,0
-145,-14,-19
-143,-12,-17
-146,-12,-15
-146,-10,-15
-148,-12,-14
-148,-10,-13
-149,-10,-11
-150,-8,-10
-149,-8,-9
-152,-8,-9
-153,-8,-8
-151,-9,-8
-151,-10,-8
-151,-9,-8
-152,-9,-8
-152,-9,-8
-152,-10,-8
-153,-9,-8
-153,-8,-7
-154,-9,-8
-154,-10,-9
-153,-8,-8
-154,-11,-11
-153,-12,-10
-154,-12,-12
-152,-11,-12
-153,-11,-12
-152,-14,-13
-153,-13,-13
-152,-10,-12
-152,-13,-13
-151,-12,-13
-153,-11,-12
-152,-12,-12
-152,-12,-13
-152,-14,-14
-151,-13,-13
-152,-10,-11
-151,-13,-13
-152,-11,-12
-150,-16,-15
-151,-13,-13
-151,-13,-13
-151,-11,-13
-150,-17,-15
-151,-14,-14
-151,-13,-13
-149,-14,-13
-150,-15,-14
-152,-13,-12
-151,-13,-12
-151,-14,-13
-149,-14,-13
-150,-14,-12
-150,-12,-10
-150,-11,-10
-151,-13,-11
-150,-12,-11
-148,-15,-12
