Z,X,Y
-35.8699,-67.182,-126.926
-41.1945,-65.8069,-132.063
-45.4707,-64.1675,-135.818
-48.5138,-62.4313,-138.012
-50.4047,-60.9076,-139.054
-51.3973,-59.7208,-139.456
-51.7709,-58.7504,-139.456
-51.8715,-57.8035,-139.222
-51.966,-56.8926,-138.957
-52.0605,-56.2253,-138.788
-51.9601,-55.9572,-138.668
-51.6877,-55.9829,-138.544
-51.5118,-56.0146,-138.532
-51.7301,-55.8166,-138.676
-52.2023,-55.439,-138.87
-52.5849,-55.1039,-138.945
-52.6669,-54.9389,-138.805
-52.5947,-54.8306,-138.568
-52.6583,-54.6056,-138.427
-52.9903,-54.2325,-138.465
-53.4067,-53.8604,-138.577
-53.5357,-53.6987,-138.57
-53.0384,-53.9218,-138.305
-51.8628,-54.5978,-137.803
-50.1943,-55.7086,-137.215
-48.1832,-57.252,-136.588
-45.7878,-59.2165,-135.752
-43.1419,-61.3696,-134.693
-40.8466,-63.2461,-133.884
-39.6558,-64.4599,-134.006
-39.9202,-64.9232,-135.324
-41.4505,-64.7263,-137.538
-43.828,-63.9445,-140.226
-46.5997,-62.6684,-143.045
-49.3357,-61.1614,-145.639
-51.6884,-59.7624,-147.662
-53.4609,-58.6484,-148.903
-54.7486,-57.7742,-149.53
-55.6845,-56.878,-149.773
-56.4533,-55.873,-149.907
-57.05,-54.9261,-150.017
-57.3843,-54.2748,-150.047
-57.6097,-53.989,-150.088
-57.9854,-53.7671,-150.174
-58.6003,-53.2413,-150.304
-59.3155,-52.3726,-150.459
-60.0199,-51.4605,-150.608
-60.9386,-50.8187,-150.779
-62.4614,-50.389,-150.954
-64.7418,-49.8596,-151.043
-67.2226,-49.1567,-150.784
-68.9454,-48.7038,-149.907
-69.223,-49.0672,-148.357
-68.105,-50.3588,-146.289
-66.1193,-52.1886,-143.81
-63.7758,-54.0276,-140.962
-61.3036,-55.6204,-137.758
-58.6493,-57.0406,-134.263
-55.753,-58.4045,-130.672
-52.8099,-59.6881,-127.351
-50.2657,-60.8068,-124.687
-48.1536,-61.8533,-122.578
-45.8182,-63.0917,-120.312
-42.5206,-64.6685,-117.124
-37.9964,-66.4069,-112.774
-32.6734,-67.9744,-107.754
-27.1639,-69.1877,-102.659
-21.7965,-70.0896,-97.6479
-16.54,-70.7907,-92.463
-11.1417,-71.2818,-86.7962
-5.12335,-71.4417,-80.3349
1.82415,-71.159,-72.9961
9.11063,-70.4609,-65.4478
15.363,-69.5436,-59.022
19.6883,-68.6561,-54.509
22.4652,-67.8966,-51.3854
24.6571,-67.2423,-48.6496
26.8874,-66.6673,-45.7795
29.2274,-66.0662,-42.9806
31.6675,-65.3293,-40.4144
34.1574,-64.3569,-38.0238
36.6078,-63.257,-35.7143
38.8385,-62.2149,-33.6403
