Z,X,Y
22.5032,-76.4017,-62.0193
23.3813,-76.2292,-61.3043
24.436,-76.1493,-60.3496
26.1803,-76.1439,-58.8089
28.4655,-76.3017,-56.927
31.16,-76.5553,-54.5647
33.3746,-76.8327,-52.5696
33.6414,-77.1273,-52.4577
31.9173,-77.2192,-54.3532
29.7832,-77.0943,-56.6639
28.7585,-76.8972,-57.8372
28.9501,-76.7115,-57.8034
29.4806,-76.5621,-57.5289
29.3132,-76.4612,-58.0751
28.6329,-76.3816,-59.1428
27.9744,-76.3109,-60.2654
27.5634,-76.2433,-61.144
27.0272,-76.2009,-61.9811
26.1012,-76.1261,-63.1307
25.9387,-75.9463,-63.4998
26.3755,-75.8064,-63.0324
25.2676,-75.8169,-63.8685
23.0139,-75.9148,-65.9639
22.0096,-75.8527,-66.961
22.3601,-75.6908,-66.565
21.8628,-75.5891,-67.0126
19.2275,-75.6421,-69.6703
15.7738,-75.7266,-73.2544
13.5259,-75.7946,-75.6583
11.0956,-75.8506,-78.3726
7.01191,-75.7547,-82.8689
2.78716,-75.6478,-87.5908
-0.0218205,-75.611,-91.0408
-2.69535,-75.5967,-94.3318
-7.38582,-75.363,-99.4583
-13.6506,-74.8086,-106.107
-19.8036,-74.0523,-112.516
-25.9325,-73.1792,-118.589
-32.9411,-71.8843,-125.24
-40.1244,-69.8205,-131.922
-46.3935,-67.1819,-137.505
-51.5159,-64.1283,-141.74
-55.3681,-60.7582,-144.815
-57.679,-57.9227,-146.866
-59.1951,-56.1422,-148.306
-60.9155,-54.3662,-149.821
-62.7074,-51.9309,-151.213
-64.018,-49.4143,-152.17
-65.041,-47.2731,-152.861
-65.9411,-45.2389,-153.182
-66.8306,-42.9552,-153.313
-67.6022,-40.9483,-153.64
-68.0465,-40.0196,-153.913
-68.3299,-39.6435,-153.994
-68.7973,-38.8555,-153.996
-69.6131,-37.6533,-154.053
-70.6361,-36.5533,-154.093
-71.6913,-35.5368,-153.88
-72.6421,-34.1651,-153.438
-73.3653,-32.578,-152.868
-73.8048,-31.405,-151.791
-74.1315,-30.6669,-149.888
-74.5892,-29.8274,-147.678
-74.9271,-29.3276,-145.523
-74.6332,-30.0416,-142.928
-73.7059,-31.5656,-139.667
-72.393,-32.881,-136.29
-70.6356,-34.0381,-133.277
-68.0972,-35.9616,-130.388
-64.506,-38.9631,-127.019
-60.0935,-42.1031,-123.071
-55.4951,-44.5927,-119.104
-50.3772,-46.7397,-114.793
-43.9947,-48.8714,-109.64
-37.0105,-50.8618,-104.644
-29.9966,-52.6688,-100.157
