Z,X,Y
7.84771,-77.6178,-88.3616
6.96116,-77.8713,-89.3921
6.15817,-77.9644,-90.3517
5.66386,-77.879,-91.0566
6.25013,-77.8218,-90.682
7.36411,-77.908,-89.8503
7.96107,-78.0437,-89.4318
7.43068,-78.1524,-90.0189
6.24149,-78.1671,-91.2637
6.16143,-78.1634,-91.3338
7.30623,-78.1664,-90.1001
8.00502,-78.1078,-89.3419
7.94557,-77.9801,-89.3607
7.8495,-77.8417,-89.3873
8.45848,-77.763,-88.7531
10.451,-77.6879,-86.9383
13.9529,-77.5308,-83.8016
17.2492,-77.3366,-80.7598
17.9795,-77.2768,-80.1107
16.5436,-77.246,-81.6489
15.3752,-77.0933,-82.8326
15.2018,-76.91,-82.8222
15.5359,-76.7813,-82.3177
16.6446,-76.7513,-81.097
17.4096,-76.8802,-80.0442
16.7939,-77.0676,-80.2665
16.0643,-77.0567,-80.7571
16.7907,-76.6873,-80.2789
18.9786,-76.1953,-78.8969
21.4148,-75.9548,-77.5832
23.0245,-75.9885,-76.7676
22.9653,-76.1541,-77.1488
22.4156,-76.4138,-77.9367
22.1738,-76.8327,-78.1872
20.716,-77.4935,-79.3836
18.6431,-78.2091,-81.4353
18.2668,-78.8076,-82.2227
19.0557,-79.3243,-82.0163
18.5969,-79.7439,-82.6517
13.6309,-80.277,-87.4717
4.43208,-80.7189,-96.5681
-1.4764,-80.8987,-102.463
-1.07334,-81.2085,-102.121
-0.663442,-81.6289,-101.876
-3.53556,-81.97,-104.929
-6.23455,-82.1827,-107.816
-7.45701,-82.3603,-109.166
-11.0344,-82.5501,-112.818
-16.9886,-82.7121,-118.846
-21.2492,-82.9972,-123.27
-23.6513,-83.33,-125.834
-27.9343,-83.4411,-130.19
-33.7638,-83.3198,-136.081
-39.0657,-83.3286,-141.459
-44.0816,-83.4297,-146.522
-49.0256,-83.4099,-151.502
-53.0351,-83.1692,-155.547
-56.3669,-82.8073,-158.885
-59.1768,-82.5634,-161.664
-61.3319,-82.3675,-163.822
-63.7991,-82.0621,-166.375
-66.2938,-81.7441,-168.94
-68.4318,-81.4672,-171.077
-70.3298,-81.2143,-172.989
-71.7039,-81.0314,-174.278
-73.1055,-80.8751,-175.53
-74.9047,-80.7184,-177.213
-76.6899,-80.4534,-178.933
-78.5406,-80.07,179.187
-80.2643,-79.6158,177.39
-81.9894,-79.0105,175.622
-83.5241,-78.0767,174.086
-84.6704,-77.0341,172.82
-85.9781,-76.433,171.504
-87.9046,-76.0161,169.807
-89.0217,-75.2223,168.766
-89.2433,-74.3602,168.559
-90.6544,-73.7949,167.468
-93.1072,-73.3723,165.441
-95.3622,-72.9518,163.574
-96.9974,-72.3125,162.354
-98.1926,-71.2,161.483
-99.0023,-69.8614,160.753
-99.8532,-68.7775,160.026
-100.948,-67.8415,159.163
-101.649,-66.8107,158.62
-101.875,-65.798,158.638
-101.983,-64.9419,158.918
-101.996,-64.0916,159.328
-101.629,-63.0869,160.043
-101.113,-62.1014,160.801
-100.732,-61.342,161.434
-100.413,-60.7566,162.018
-100.164,-60.1449,162.623
-100.051,-59.2936,163.114
-100.275,-58.2459,163.226
-100.584,-57.4286,163.291
-100.751,-56.9328,163.497
-100.718,-56.5152,163.926
-100.592,-56.0094,164.511
-100.352,-55.2282,165.384
-100.039,-54.2215,166.57
-99.7988,-53.5193,167.656
-99.5097,-53.3142,168.578
-98.8526,-53.2372,169.711
-97.752,-53.1662,171.07
-96.7384,-53.4585,172.128
-96.0348,-54.099,172.659
-95.4276,-54.5428,172.842
-94.8829,-54.6996,172.784
-94.9667,-54.9698,172.142
-96.0722,-55.3859,170.694
-97.8656,-55.625,168.741
-99.3962,-55.4572,167.242
-100.322,-55.0685,166.53
-100.926,-54.8347,166.11
-101.275,-54.8435,165.707
-101.541,-54.9614,165.289
-102.009,-54.8677,164.657
-102.606,-54.6022,164.017
-103.016,-54.4286,163.518
-103.195,-54.4811,163.055
-103.226,-54.7177,162.602
-103.056,-55.0733,162.262
-102.704,-55.3877,162.192
-102.51,-55.4139,162.169
-102.599,-55.2227,162.041
-102.925,-55.0341,161.725
-103.295,-54.9314,161.325
-103.544,-54.9811,161.074
-103.631,-55.1367,161.071
-103.653,-55.2491,161.147
-103.972,-55.2029,160.927
-104.631,-54.9781,160.409
-105.232,-54.7778,159.885
-105.633,-54.7406,159.491
-105.879,-54.7895,159.23
-106.178,-54.8042,159.002
-106.453,-54.7156,158.876
-106.55,-54.57,158.888
-106.57,-54.4793,158.936
-106.638,-54.4652,158.963
-106.807,-54.4514,158.91
-107.024,-54.6086,158.706
-107.389,-54.8731,158.377
-107.681,-54.8525,158.226
-107.704,-54.5508,158.352
-107.876,-54.293,158.387
-108.269,-54.2261,158.165
-108.556,-54.307,157.94
-108.822,-54.5256,157.722
-109.351,-54.7383,157.384
-109.95,-54.7147,156.954
-110.334,-54.5798,156.518
-110.381,-54.7289,156.443
-110.403,-55.0894,156.382
-110.577,-55.4771,156.247
-110.974,-55.8204,156.055
-111.359,-55.9771,155.839
-111.588,-56.0492,155.701
-111.843,-56.3458,155.688
-112.167,-56.7705,155.776
-112.699,-57.0511,155.7
-113.444,-57.2094,155.468
-113.792,-57.2611,155.475
-113.761,-57.3159,155.496
-114.121,-57.6253,155.156
-114.854,-58.08,154.681
-115.469,-58.4747,154.491
-115.934,-58.8202,154.384
-116.622,-59.2245,153.941
-117.661,-59.7813,153.233
-118.601,-60.3637,152.719
-119.029,-60.6377,152.62
-119.055,-60.7305,152.756
-118.95,-60.9077,152.891
-118.873,-61.0336,152.948
-118.61,-61.0665,153.213
-118.007,-61.1069,153.84
-117.269,-61.1747,154.561
-117.087,-61.2976,154.819
-117.753,-61.4037,154.463
-118.669,-61.5023,154.208
-119.258,-61.7058,154.489
-119.093,-62.1643,155.311
-118.742,-63.0287,155.981
-118.313,-64.2505,156.814
-116.806,-65.5955,158.804
-114.229,-66.9883,161.961
-111.493,-68.0575,165.561
-109.172,-68.0326,168.855
-106.737,-67.1975,171.935
-103.817,-66.7992,175.049
-101.178,-67.2837,177.536
-99.1425,-68.0499,179.225
-97.2922,-68.5485,-179.407
-95.9192,-68.9525,-178.3
-95.5595,-69.2966,-177.658
-95.851,-69.0823,-177.477
-95.7577,-68.5328,-177.093
-94.997,-68.4925,-176.4
-93.9481,-69.1164,-175.76
-93.4626,-70.0307,-175.588
-93.412,-70.7703,-175.416
-93.0897,-71.1203,-174.487
-92.1388,-71.3369,-172.732
-90.4147,-71.6283,-170.373
-88.5314,-71.754,-168.224
-86.6506,-71.6835,-166.333
-84.1738,-71.9092,-163.849
-80.8881,-72.4778,-160.45
-77.8992,-72.8327,-157.272
-75.962,-72.7144,-155.165
-74.1875,-72.4598,-153.172
-71.7744,-72.467,-150.593
-69.0741,-72.6436,-147.911
-66.991,-72.6641,-145.965
-65.542,-72.535,-144.431
-64.6983,-72.3899,-143.366
-64.0224,-72.1763,-142.69
-62.8009,-72.1032,-141.719
-60.9052,-72.3371,-140.028
-59.0084,-72.5732,-138.128
-57.9971,-72.6202,-137.069
-57.6378,-72.6028,-136.714
-57.1278,-72.6786,-136.21
-56.4481,-72.7055,-135.523
-55.8228,-72.5189,-134.929
-54.9567,-72.3045,-134.154
-53.9149,-72.2319,-133.163
-53.1102,-72.1873,-132.318
-52.6893,-72.1148,-131.772
-52.3018,-71.9733,-131.315
-51.4256,-71.8767,-130.382
-50.0481,-71.9264,-128.844
-48.4416,-72.0073,-126.837
-46.6723,-71.8742,-124.409
-44.5875,-71.4918,-121.579
-41.712,-70.8054,-118.147
-38.3048,-69.9524,-114.536
-34.9621,-69.2019,-111.341
-31.8564,-68.4806,-108.488
-29.1902,-67.6103,-105.796
-27.2901,-66.8373,-103.54
-25.9546,-66.399,-101.799
-24.6523,-66.2158,-100.321
-23.2435,-66.2027,-98.847
-21.9594,-66.232,-97.4258
-20.9364,-66.1342,-96.3335
-19.7607,-65.8554,-95.3694
-18.1379,-65.4818,-94.2532
-16.4714,-65.0653,-93.1292
-15.1842,-64.705,-92.1278
-14.3711,-64.581,-91.2947
-14.02,-64.7717,-90.835
-13.8254,-65.0367,-90.5535
-13.447,-65.0489,-90.0783
-12.7333,-64.843,-89.3297
-11.9227,-64.4687,-88.5691
-11.6311,-63.861,-88.4462
-11.3564,-63.1696,-88.3565
-10.3438,-62.6863,-87.4679
-9.33329,-62.5484,-86.5451
-9.05726,-62.4992,-86.2928
-9.15865,-62.2587,-86.4204
-9.12097,-61.8049,-86.4971
-8.67373,-61.3374,-86.1663
-7.85994,-61.0213,-85.3867
-6.88627,-60.7889,-84.2856
-5.81735,-60.5924,-82.9492
-4.98844,-60.4352,-81.8004
-4.73175,-60.2579,-81.29
-4.32126,-59.9554,-80.8807
-2.93443,-59.5641,-79.611
-0.982298,-59.1716,-77.7015
0.391662,-58.8904,-76.3003
0.497254,-58.6246,-76.1269
0.210011,-57.9982,-76.3941
0.766587,-57.0491,-75.8444
1.73707,-56.232,-74.8861
2.21498,-55.7836,-74.4185
2.16438,-55.4339,-74.4055
2.1704,-55.0084,-74.2474
2.58636,-54.689,-73.7103
3.3173,-54.507,-72.9881
4.13987,-54.3493,-72.2683
4.75051,-54.1668,-71.7799
4.9299,-53.9421,-71.7048
4.90746,-53.5785,-71.76
