Z,X,Y
-24.1785,-72.2149,-122.596
-23.5349,-72.152,-122.197
-23.1471,-72.0586,-122.025
-22.8716,-71.9321,-121.93
-22.7586,-71.8018,-121.96
-22.9557,-71.6982,-122.192
-23.2007,-71.639,-122.423
-23.1503,-71.6022,-122.419
-22.8204,-71.5187,-122.118
-22.6208,-71.3404,-121.898
-22.7057,-71.1542,-122.007
-23.0695,-70.991,-122.357
-23.6742,-70.8154,-122.874
-24.214,-70.6371,-123.37
-24.1217,-70.4561,-123.299
-23.3223,-70.3435,-122.605
-22.295,-70.3709,-121.658
-21.738,-70.35,-121.06
-21.8409,-70.1557,-121.164
-21.5049,-69.9672,-120.923
-20.2927,-70.0297,-119.799
-19.595,-70.2911,-119.245
-19.8849,-70.593,-119.59
-19.9762,-70.8287,-119.606
-19.5029,-70.8186,-119.161
-18.7204,-70.5078,-118.597
-18.0943,-69.9288,-118.157
-17.9668,-69.2246,-118.131
-18.092,-68.5683,-118.394
-18.1703,-67.9782,-118.691
-18.3011,-67.4371,-119.085
-18.2147,-66.8648,-119.257
-17.3583,-66.3592,-118.707
-15.9676,-66.0961,-117.756
-14.3389,-66.0311,-116.594
-12.5394,-65.9895,-115.443
-10.8161,-65.78,-115.052
-9.08169,-65.4226,-115.295
-7.46514,-64.8271,-115.703
-6.72748,-63.6793,-116.939
-6.73384,-62.3677,-118.972
-6.70043,-62.2579,-120.46
-6.40866,-63.4417,-120.838
-5.5482,-64.227,-120.37
-4.28035,-64.1089,-119.675
-4.44224,-64.4824,-120.07
-7.06688,-65.9483,-122.288
-10.9913,-67.8721,-125.671
-14.5045,-69.6846,-128.785
-17.4435,-71.6398,-131.061
-21.1359,-73.9372,-133.501
-25.8475,-75.6641,-137.191
-30.7848,-76.238,-141.839
-35.7252,-76.4006,-146.434
-41.5203,-76.8429,-151.443
-48.6354,-77.4367,-157.839
-55.6907,-77.8448,-164.45
-61.8488,-77.886,-170.188
-67.6547,-77.4527,-175.639
-72.1392,-76.977,-179.902
-75.5035,-77.0056,176.959
-80.195,-77.186,172.524
-86.1606,-76.9335,167.09
-90.5867,-76.2158,163.358
-93.1359,-75.1944,161.294
-95.8202,-74.1156,159.027
-99.1468,-73.3824,156.408
-101.963,-72.8569,154.417
-103.509,-72.1694,153.329
