Z,X,Y
-34.7831,-70.2856,-142.549
-32.6989,-69.8111,-140.508
-31.1759,-69.2296,-139.148
-30.037,-68.7172,-138.277
-28.6282,-68.3098,-137.181
-27.7886,-67.7114,-136.618
-27.8881,-66.883,-136.944
-28.3177,-66.2048,-137.546
-28.8424,-65.7519,-138.239
-29.4665,-65.3138,-139.037
-30.122,-64.8561,-139.837
-30.8567,-64.6773,-140.755
-31.8038,-64.7199,-141.894
-33.2001,-64.601,-143.381
-34.9793,-64.1635,-145.194
-36.4538,-63.6311,-146.732
-37.0147,-63.3007,-147.375
-36.9272,-63.0586,-147.403
-37.0776,-62.5914,-147.683
-37.6957,-61.9578,-148.384
-38.1725,-61.4928,-148.929
-38.3865,-61.1329,-149.279
-38.4612,-60.8138,-149.497
-38.5628,-60.5871,-149.706
-38.8377,-60.4738,-150.078
-39.2046,-60.5429,-150.516
-39.804,-60.5972,-151.121
-40.7599,-60.521,-152.08
-41.639,-60.6532,-153.012
-42.1802,-61.1343,-153.72
-42.8609,-61.6035,-154.645
-43.9199,-61.8064,-155.889
-45.0214,-61.9211,-157.107
-45.935,-62.2107,-158.18
-47.0228,-62.5285,-159.486
-48.6561,-62.6197,-161.337
-50.5923,-62.6869,-163.462
-52.2219,-62.8637,-165.315
-53.2396,-62.9269,-166.64
-53.8899,-62.8856,-167.595
-54.6119,-62.8484,-168.598
-55.2755,-62.6602,-169.521
-55.5847,-62.3353,-170.058
-55.7625,-62.136,-170.411
-56.3803,-61.8771,-171.187
-57.2572,-61.346,-172.195
-57.6981,-60.7508,-172.713
-57.7751,-60.3056,-172.849
-58.0452,-59.9924,-173.238
-58.6122,-59.73,-174.026
-59.1204,-59.3907,-174.791
-59.404,-58.9776,-175.361
-59.6439,-58.6542,-175.915
-59.9082,-58.4568,-176.385
-60.5656,-58.0924,-177.182
-61.2645,-57.4021,-178.074
-61.3478,-56.8277,-178.312
-61.4924,-56.5158,-178.447
-61.8198,-55.9365,-178.575
-61.9968,-54.8999,-178.619
-61.938,-54.1497,-178.581
-61.7058,-53.9905,-178.466
-61.2584,-53.8119,-178.193
-60.7645,-53.3253,-177.789
-60.5466,-52.6094,-177.644
-60.4598,-51.7661,-177.769
-60.2985,-51.0208,-177.818
-60.0578,-50.3495,-177.705
-59.7864,-49.7539,-177.465
-59.6195,-49.2129,-177.236
-59.5108,-48.6261,-177.15
-59.3555,-48.0132,-177.163
-59.017,-47.4396,-177.087
-58.5362,-47.0298,-176.889
-58.1122,-46.6509,-176.695
-57.926,-46.1339,-176.618
-57.8384,-45.5946,-176.599
-57.7144,-45.2117,-176.523
-57.6213,-44.9039,-176.47
-57.5964,-44.5325,-176.537
-57.6021,-44.0384,-176.67
-57.4886,-43.6416,-176.714
-57.1978,-43.482,-176.676
-56.8804,-43.3915,-176.658
-56.6537,-43.1878,-176.66
-56.5559,-42.8305,-176.776
-56.5638,-42.5113,-177.042
-56.6124,-42.3587,-177.353
-56.6639,-42.2135,-177.635
-56.7323,-41.9583,-177.866
-56.8435,-41.6947,-178.077
-56.9168,-41.5731,-178.235
-56.9549,-41.5211,-178.369
-57.1917,-41.3357,-178.617
-57.7317,-40.9751,-179.003
-58.2296,-40.7237,-179.314
-58.4649,-40.6593,-179.455
-58.6062,-40.5048,-179.527
-58.7891,-40.2138,-179.628
-59.02,-39.8521,-179.806
-59.2783,-39.443,179.952
-59.5082,-39.1181,179.761
-59.6506,-38.8508,179.651
-59.7646,-38.5398,179.537
-59.9,-38.1683,179.4
-60.0098,-37.8031,179.282
-60.0851,-37.4889,179.162
-60.1358,-37.2327,179.034
-60.1909,-37.0322,178.923
-60.3059,-36.7845,178.787
-60.4857,-36.4696,178.654
-60.6428,-36.1665,178.579
-60.7499,-35.8707,178.498
-60.913,-35.4857,178.387
-61.0988,-35.0622,178.345
-61.2357,-34.6825,178.327
-61.3505,-34.3541,178.204
-61.4069,-34.0686,178.026
-61.3202,-33.789,177.984
-61.1992,-33.3633,177.947
-61.1821,-32.8218,177.744
-61.1668,-32.385,177.542
-61.0211,-32.0821,177.484
-60.8458,-31.7582,177.461
-60.768,-31.4624,177.352
-60.7488,-31.2345,177.193
-60.7197,-30.8846,177.064
-60.6529,-30.3763,177.066
-60.6144,-29.834,177.133
-60.6346,-29.2112,177.078
-60.6732,-28.546,176.903
-60.631,-28.2331,176.829
-60.489,-28.2315,176.772
-60.3143,-28.0927,176.575
-60.1043,-27.7835,176.3
-59.85,-27.4715,176.099
-59.679,-27.091,176.005
-59.663,-26.6298,175.9
-59.574,-26.2163,175.792
-59.3372,-26.0656,175.694
-59.2021,-26.1265,175.677
-59.1642,-26.1219,175.806
-59.0799,-26.024,175.935
-58.9998,-25.9633,175.944
-58.9882,-25.9268,175.968
-58.9734,-25.8121,176.094
-59.0134,-25.5587,176.175
-59.1646,-25.2727,176.095
-59.3928,-25.1698,176.061
-59.722,-25.2443,176.18
-59.9735,-25.3249,176.231
-60.1564,-25.3283,176.007
-60.3607,-25.1655,175.667
-60.6327,-24.8207,175.379
-61.1106,-24.352,175.109
-61.5301,-23.7871,174.847
-61.5059,-23.3465,174.665
-61.4012,-23.3338,174.576
-61.4651,-23.5977,174.524
-61.5112,-23.8302,174.417
-61.5535,-23.9422,174.259
-61.7895,-23.713,174.082
-62.1559,-23.0677,173.847
-62.4271,-22.471,173.615
-62.6209,-22.3392,173.475
-62.8324,-22.4781,173.436
-63.0721,-22.4128,173.401
-63.2966,-22.1083,173.302
-63.5249,-21.8946,173.157
-63.6831,-21.8108,172.995
-63.6132,-21.7541,172.784
-63.5806,-21.7555,172.522
-63.7766,-21.7302,172.164
-63.8745,-21.7136,171.813
-63.7579,-21.7762,171.567
-63.6983,-21.6927,171.364
-63.8006,-21.5474,171.145
-63.8453,-21.6805,170.979
-63.8747,-21.8512,170.822
-64.1033,-21.5928,170.656
-64.4647,-20.947,170.508
-64.7561,-20.4201,170.397
-65.1421,-20.3691,170.256
-65.6354,-20.6477,170.137
-65.9264,-20.8554,169.932
-65.9577,-20.9197,169.591
-66.0452,-20.9078,169.197
-66.111,-20.7769,168.919
-66.0794,-20.8219,168.711
-66.1852,-21.0918,168.46
-66.5057,-21.0389,168.312
-66.9602,-20.518,168.299
-67.4139,-20.1434,168.218
-67.7311,-20.2755,168.036
-67.8636,-20.6116,167.881
-67.9554,-20.8085,167.767
-68.1193,-20.7987,167.588
-68.2239,-20.7113,167.4
-68.1847,-20.6959,167.241
-68.1645,-20.7852,167.114
-68.2295,-20.7739,167.075
-68.3005,-20.6677,167.076
-68.3605,-20.7939,166.949
-68.2939,-21.1059,166.717
