Y,X,Z
173,-39,6
176,-27,1
174,-28,1
173,-40,6
173,-40,6
172,-39,5
173,-40,5
173,-41,4
172,-40,4
174,-43,4
174,-43,3
174,-43,3
174,-43,2
176,-44,2
177,-47,2
177,-46,2
178,-46,1
178,-46,1
179,-46,0
-179,-48,0
-179,-48,0
-179,-45,0
-179,-46,0
-177,-45,-1
-179,-47,0
-178,-47,0
-177,-47,-1
-179,-45,0
-176,-45,-2
-176,-46,-2
-177,-46,-2
-176,-48,-2
-176,-47,-2
-176,-46,-2
-176,-47,-3
-176,-49,-2
-176,-47,-3
-176,-48,-3
-179,-46,-2
-178,-47,-3
-178,-47,-2
-178,-50,-2
-178,-50,-2
-178,-48,-1
-178,-47,-2
-176,-47,-3
-178,-45,-2
-177,-46,-2
-177,-44,-2
-177,-45,-2
-176,-44,-3
-177,-44,-2
-178,-42,-3
-177,-43,-3
-178,-39,-3
-179,-41,-3
-179,-40,-3
-177,-43,-3
-178,-42,-3
-177,-42,-3
-178,-41,-3
-178,-42,-2
-178,-41,-3
-176,-43,-3
-175,-39,-4
-175,-38,-4
-174,-41,-4
-175,-41,-4
-174,-40,-4
-175,-39,-4
-175,-39,-5
-173,-38,-6
-174,-39,-5
-174,-39,-5
-174,-40,-5
-175,-40,-4
-175,-40,-4
-175,-40,-3
-176,-40,-2
-177,-38,-3
-177,-39,-2
-177,-38,-3
-178,-36,-1
-177,-39,-1
-179,-41,0
-179,-40,0
179,-40,0
-179,-41,0
-179,-38,0
175,39,-6
179,-31,0
-179,-41,2
177,40,-3
177,42,-2
178,41,-1
178,41,0
177,26,0
174,32,0
-179,39,4
-178,40,5
-178,38,6
-178,27,9
-177,39,8
-177,39,8
-177,37,9
-177,36,8
-178,34,9
-177,28,9
-177,37,10
-177,35,11
-176,35,11
-176,35,12
-176,35,12
-178,32,12
169,-39,20
168,-37,21
168,-38,22
172,-22,21
166,-37,22
0,0,0
165,-39,21
0,0,0
164,-43,22
164,-43,21
163,-45,21
164,-43,18
161,-47,21
161,-49,20
162,-51,20
162,-52,20
162,-55,19
162,-55,17
163,-55,15
