Y,X,Z
179,-46,2
177,-43,3
179,-43,2
177,-46,3
179,-47,1
179,-43,2
178,-44,1
178,-45,1
-179,-45,0
-179,-48,0
179,-44,0
179,-45,0
-178,-44,0
-179,-44,0
179,-44,0
-178,-48,-1
-179,-47,-1
-177,-49,-2
-176,-50,-1
-176,-46,-2
-177,-47,-2
-176,-47,-2
-176,-46,-2
-177,-43,-3
-177,-46,-2
-177,-44,-2
-175,-48,-2
-176,-50,-2
-176,-47,-2
-177,-48,-2
-177,-46,-3
-177,-49,-2
-177,-49,-2
-178,-50,-2
-177,-49,-2
-174,-50,-3
-176,-50,-3
-176,-49,-3
-176,-49,-4
-177,-48,-4
-176,-48,-4
-178,-47,-3
-175,-43,-5
-175,-46,-4
-179,-48,-2
-176,-46,-3
-175,-46,-4
-175,-45,-5
-178,-46,-3
-176,-45,-3
-173,-45,-5
-174,-45,-6
-175,-41,-5
-175,-44,-4
-175,-47,-4
-174,-46,-5
-175,-41,-5
-174,-45,-5
-176,-44,-4
-176,-46,-4
-176,-45,-3
-177,-45,-3
-175,-44,-4
-174,-43,-5
-175,-42,-5
-174,-44,-5
-174,-44,-5
-173,-45,-6
-175,-44,-4
-178,-44,-3
179,-40,-3
-173,-43,-6
-172,-42,-7
-174,-42,-6
-173,-44,-5
-175,-40,-5
-175,-43,-4
-174,-44,-4
-173,-43,-4
-176,-43,-3
179,-36,0
-178,-37,0
-176,-41,-3
-177,-43,-2
-175,-44,-2
-177,-42,-2
-176,-43,-2
-177,-42,-1
-177,-43,0
-177,-46,0
-178,-44,0
-178,-43,1
177,40,-2
176,36,-2
-179,41,0
-179,40,1
-179,42,2
-178,41,4
-177,42,5
-177,41,6
-178,40,6
-175,41,9
-176,42,9
-179,37,7
-176,40,9
-177,38,9
-170,13,11
-176,41,10
172,-42,16
-176,39,11
-176,37,13
178,30,8
-178,35,11
-177,35,12
173,-39,17
171,-40,20
170,-40,21
179,26,12
170,-37,20
0,0,0
170,-41,19
170,-42,19
169,-42,19
170,-44,18
170,-47,17
171,-49,17
172,-47,12
170,-47,14
173,-48,10
170,-52,13
173,-52,10
174,-53,10
-173,-36,177
174,-54,7
176,-54,3
178,-58,2
-179,-57,0
-175,-59,-2
-172,-60,-6
-172,-59,-7
-172,-58,-7
-177,-45,-5
-171,-60,-10
-172,-45,-6
-173,-45,-9
-169,-49,-10
0,0,0
0,0,0
0,0,0
-171,-41,-10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-174,-54,-9
-165,-40,-14
0,0,0
-163,-48,-16
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-174,-54,-10
0,0,0
-177,-53,-6
-175,-55,-8
-177,-57,-6
-177,-56,-5
0,0,0
-179,-57,-3
177,-57,-1
176,-57,0
178,-58,0
176,-58,0
177,-59,1
175,-58,1
176,-60,1
178,-61,0
176,-60,0
-169,-36,-5
-169,-35,-3
-171,-31,-2
-174,-30,-1
-174,-29,-2
-171,-35,-4
-173,-31,-2
-175,-35,-3
-174,-39,-6
-174,-43,-4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-173,-56,-13
-173,-57,-12
-172,-55,-12
-173,-55,-11
-174,-56,-10
-174,-57,-8
-174,-56,-8
-177,-57,-7
-178,-55,-5
-179,-54,-4
-179,-56,-4
-178,-55,-5
-179,-54,-4
179,-55,-4
179,-55,-3
177,-54,-2
177,-56,-1
177,-52,-1
175,-55,0
175,-55,0
174,-54,1
172,-56,2
175,-56,1
172,-56,3
172,-57,2
175,-56,0
173,-57,2
173,-58,2
174,-57,2
174,-57,1
174,-56,2
175,-59,1
176,-58,1
175,-59,2
174,-60,2
174,-58,1
173,-60,2
173,-61,3
172,-60,4
172,-59,6
174,-61,2
173,-62,3
174,-60,1
176,-60,0
175,-60,0
174,-61,0
174,-62,1
171,-64,3
171,-61,4
166,-59,7
162,-57,11
164,-58,8
163,-58,11
170,-62,3
170,-62,2
167,-62,5
160,-58,14
169,-63,3
155,-52,15
160,-45,15
160,-49,15
166,-39,8
173,-38,2
-167,-37,-10
160,-54,13
153,-39,20
-174,-65,-12
-178,-57,-2
-173,-51,-10
-174,-35,-8
173,-28,-1
167,1,-6
167,4,-8
165,6,-9
164,7,-9
165,2,-6
167,0,-7
162,1,-6
0,0,0
0,0,0
165,0,-7
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-179,-55,-7
-178,-57,-8
-176,-59,-11
-177,-53,-10
-176,-53,-9
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
