Z,X,Y
-75.7842,-80.6938,-175.902
-75.9182,-79.4243,-176.029
-75.0612,-78.1044,-174.881
-73.5584,-76.7874,-172.783
-71.9911,-75.6295,-170.534
-70.4658,-74.6813,-168.408
-68.8927,-73.8697,-166.297
-67.4765,-73.0919,-164.337
-66.5372,-72.3657,-162.878
-66.1348,-71.8077,-162.099
-66.0634,-71.4972,-161.874
-66.1851,-71.3622,-161.963
-66.4456,-71.2198,-162.233
-66.7859,-70.9402,-162.454
-67.1273,-70.5648,-162.542
-67.4464,-70.2055,-162.516
-67.7097,-69.911,-162.407
-68.0101,-69.6166,-162.347
-68.488,-69.2407,-162.464
-69.116,-68.7774,-162.703
-69.6572,-68.3245,-162.864
-69.9199,-68.0288,-162.87
-69.9287,-68.0146,-162.891
-69.9339,-68.3311,-163.261
-70.2628,-68.9712,-164.356
-71.1545,-69.9454,-166.389
-72.6395,-71.2383,-169.268
-74.6152,-72.6324,-172.729
-76.7647,-73.7406,-176.359
-78.6343,-74.2965,-179.682
-79.9599,-74.3199,177.643
-80.7055,-73.9817,175.8
-80.8796,-73.3621,174.855
-80.5611,-72.4822,174.685
-80.0344,-71.4999,174.947
-79.5628,-70.6648,175.358
-79.1864,-70.0817,175.917
-78.9545,-69.6391,176.548
-78.5824,-69.1477,177.429
-78.0838,-68.5857,178.415
-77.5939,-68.0555,179.299
-77.2105,-67.6406,179.993
-77.123,-67.3554,-179.657
-77.269,-67.0716,-179.479
-77.4664,-66.6271,-179.254
-77.6575,-65.9856,-178.954
-78.0303,-65.2431,-178.728
-78.955,-64.5248,-178.783
-80.4891,-63.8316,-178.968
-82.3409,-63.1056,-178.889
-84.0783,-62.4247,-178.254
-85.4109,-62.0687,-177.145
-86.1711,-62.3551,-175.877
-86.3093,-63.3546,-174.671
-85.8914,-64.847,-173.417
-84.9543,-66.5014,-171.811
-83.4777,-68.1691,-169.607
-81.453,-69.8924,-166.833
-79.0679,-71.6321,-163.8
-76.7357,-73.2149,-161.026
-74.9156,-74.5166,-158.99
-73.7171,-75.6669,-157.771
-73.1182,-76.9554,-157.281
-73.1696,-78.5778,-157.471
-73.634,-80.4803,-158.126
-74.0629,-82.4216,-158.86
-74.2334,-84.1795,-159.417
