Y,X,Z
-176,-45,-2
-175,-44,-3
-176,-44,-2
-177,-42,-2
-178,-42,-1
-179,-41,0
-177,-43,-1
-178,-41,0
-177,-44,0
-178,-43,0
-179,-43,1
-178,-44,0
-178,-44,0
-179,-43,1
-178,-43,1
-178,-42,1
179,-44,2
-178,-45,2
-179,-43,1
-177,-43,0
-178,-43,1
-178,-44,1
-177,-44,0
-176,-43,0
-174,-43,-1
-174,-42,-2
-174,-44,-2
-173,-43,-3
-171,-44,-5
-172,-41,-4
-172,-42,-4
-172,-44,-4
-174,-45,-3
-175,-46,-3
-175,-42,-3
-175,-42,-3
-175,-43,-1
-173,-43,-2
-175,-44,-1
-175,-45,-1
-175,-45,0
-176,-44,0
-176,-43,0
-178,-44,1
-177,-45,0
-177,-46,0
-177,-42,0
-179,-44,1
-179,-44,2
-179,-46,3
179,-46,3
177,-46,4
177,-48,5
176,-46,6
176,-43,6
174,-49,6
176,-50,5
175,-50,5
175,-49,6
176,-36,5
173,-51,7
174,-52,6
175,-49,4
176,-48,4
175,-42,2
176,-54,4
177,-51,3
175,-50,4
177,-35,5
176,-35,5
178,-33,6
176,-27,4
176,-30,6
174,-27,4
176,-25,4
172,-13,4
174,-29,6
175,-36,5
173,-26,3
175,-37,5
175,-37,4
176,-39,3
174,-42,1
175,-40,0
176,-42,1
176,-40,1
175,-38,2
175,-33,2
170,-29,4
174,-31,1
168,-25,5
165,-18,1
169,-24,4
166,-17,-178
170,-36,7
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-170,-57,-18
-175,-50,-11
-168,-54,-20
168,-18,-179
166,-26,4
-174,-39,-6
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-163,-55,-22
0,0,0
-163,-55,-21
-164,-55,-22
-165,-57,-22
-165,-58,-22
-164,-59,-21
-165,-61,-20
-167,-60,-19
-167,-61,-18
-170,-62,-16
-170,-60,-16
-173,-60,-13
-172,-61,-13
-172,-61,-12
-173,-56,-11
-175,-57,-10
-175,-60,-9
-171,-60,-11
-174,-59,-10
-176,-60,-8
-179,-58,-6
-179,-59,-4
174,-60,0
179,-61,-3
170,-63,3
169,-64,5
177,-56,2
173,-62,3
174,-57,7
-166,-48,-9
-168,-45,-5
-177,-61,0
-176,-61,0
-166,-59,-11
-164,-56,-11
-165,-53,-8
179,-59,0
-166,-52,-8
176,-41,-179
-178,-39,172
179,-44,175
-171,-60,-8
-166,-53,-15
-176,-64,-3
-174,-64,-5
175,-49,-176
-172,-65,-5
-172,-63,-4
-171,-56,-9
-173,-59,-5
-170,-58,-9
-169,-59,-7
-170,-59,-7
-170,-62,-5
-172,-62,-3
-179,-38,177
-179,-36,178
177,-40,-179
-172,-60,-6
-179,-34,175
-179,-36,176
-175,-61,-2
-179,-34,175
178,-36,177
178,-35,179
179,-33,176
178,-34,178
179,-33,176
177,-35,176
176,-35,177
-175,-60,-2
-172,-59,-7
179,-58,-1
176,-59,0
175,-61,0
173,-60,0
176,-60,0
179,-63,-2
-179,-61,-2
-177,-61,-3
-176,-61,-4
-175,-62,-4
-172,-57,-6
-172,-60,-6
-173,-61,-5
-173,-58,-4
-173,-58,-5
-173,-57,-4
-173,-57,-4
-172,-57,-5
-173,-59,-5
-172,-56,-4
-172,-58,-4
-173,-57,-3
-173,-56,-3
-174,-56,-3
-173,-58,-4
-176,-57,-2
-174,-59,-3
-172,-58,-4
-174,-58,-3
-173,-59,-2
-173,-61,-5
-173,-57,-5
-175,-59,-4
-173,-57,-4
-174,-55,-4
-174,-60,-5
-174,-56,-5
-176,-57,-3
-176,-57,-4
-176,-58,-5
-179,-57,-2
-176,-59,-4
-177,-58,-4
-176,-61,-5
-176,-60,-5
-176,-59,-5
-178,-59,-4
-177,-58,-5
-179,-59,-4
-178,-57,-5
-179,-58,-4
-179,-59,-3
-178,-58,-4
-173,-50,-9
-174,-45,-7
-174,-48,-5
-175,-55,-2
-175,-58,-3
-176,-58,-1
-177,-55,-1
-174,-56,-2
-175,-56,-1
-178,-57,0
-177,-60,0
-176,-62,-1
-177,-57,0
-179,-58,0
-179,-58,0
-176,-59,-1
-178,-58,0
-175,-58,0
-176,-60,-1
-174,-51,-3
-177,-41,179
-171,-52,-5
-173,-48,-4
-178,-37,177
-174,-50,-4
179,-39,179
-178,-39,179
-175,-49,-4
-173,-51,-4
-177,-54,-1
-178,-58,-1
-179,-59,0
-178,-58,-1
-179,-58,-1
-177,-59,-2
-179,-58,0
-179,-57,0
-179,-58,-1
179,-57,-1
-176,-54,0
-178,-54,-1
-179,-59,-2
178,-59,-1
178,-60,-1
178,-58,-1
178,-57,-1
177,-58,0
176,-60,0
173,-60,1
175,-60,0
