Y,X,Z
-173,-40,-3
-173,-40,-3
-176,-39,-2
-174,-39,-3
-175,-39,-2
-175,-39,-2
-176,-37,-1
-175,-38,-1
-177,-37,0
-176,-38,0
-178,-40,1
-178,-41,0
-178,-38,1
-177,-40,0
-176,-36,0
-176,-35,0
-175,-38,0
-175,-37,0
-175,-36,0
-177,-39,0
-177,-40,0
-176,-39,0
-176,-40,0
-174,-38,-1
-173,-38,-1
-174,-40,-1
-171,-30,-4
-170,-30,-4
-171,-39,-4
-163,-15,-7
-171,-40,-5
-172,-40,-4
-172,-41,-4
-172,-39,-4
-172,-41,-5
-172,-38,-4
-172,-41,-3
-172,-40,-3
-173,-38,-3
-173,-39,-3
-175,-39,-2
-175,-39,-2
-174,-39,-1
-176,-41,0
-175,-38,0
-175,-40,-1
-175,-42,0
-177,-31,0
-177,-26,0
-178,-28,1
-177,-44,2
-178,-44,2
-179,-32,3
178,-44,4
178,-47,5
177,-46,5
177,-46,5
178,-49,4
177,-30,4
175,-51,5
176,-52,6
176,-53,5
175,-49,6
174,-54,5
175,-53,5
174,-53,5
175,-54,4
174,-48,6
175,-51,5
174,-30,5
175,-36,8
174,-32,6
175,-36,8
173,-32,8
169,-24,7
169,-13,4
175,-32,6
174,-27,6
169,-25,6
170,-28,5
168,-21,7
171,-32,5
172,-28,4
174,-35,3
172,-35,3
171,-34,4
170,-31,3
165,-16,1
164,-13,1
162,-23,5
162,-23,4
166,-34,8
162,-15,3
166,-35,9
0,0,0
0,0,0
163,-27,7
-163,-61,-22
-165,-61,-21
-165,-60,-22
-163,-59,-24
-170,-54,-15
167,-28,0
162,-21,6
165,-32,10
162,-24,9
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-169,-32,-6
-150,-55,-32
178,61,-6
178,58,-7
-155,-60,-29
-153,-59,-30
-155,-60,-29
-156,-61,-28
-154,-63,-29
-154,-63,-29
-157,-64,-26
-156,-66,-28
-158,-65,-26
-162,-65,-23
-163,-64,-20
-162,-65,-22
-166,-64,-17
-162,-47,-13
-166,-58,-17
-164,-60,-17
-170,-64,-13
-172,-61,-10
-168,-62,-13
-172,-61,-10
-174,-63,-8
-173,-63,-8
179,-64,-5
-176,-63,-5
178,-61,-1
179,-62,-1
-179,-63,0
-170,-58,-7
-165,-54,-11
162,-66,15
174,-71,3
177,-60,6
176,-71,7
-156,-65,-18
-162,-62,-9
-159,-58,-14
-156,-57,-13
-157,-55,-15
-156,-52,-15
-158,-51,-12
-156,-52,-12
175,-40,178
-163,-68,-15
-160,-64,-15
-155,-58,-14
-157,-60,-15
-163,-68,-12
-152,-55,-23
-153,-57,-22
-155,-56,-21
-159,-57,-16
-162,-56,-11
175,-38,-178
-164,-57,-11
179,-33,177
177,-38,-178
-166,-60,-8
175,-38,-177
-165,-61,-10
-164,-61,-11
-167,-61,-9
-164,-65,-11
-165,-64,-10
-163,-64,-11
-163,-64,-11
-162,-62,-12
-161,-64,-13
-165,-63,-11
-165,-64,-11
-166,-63,-9
-169,-61,-9
-171,-59,-8
-171,-63,-7
-177,-64,-4
-179,-63,-4
-178,-64,-5
-174,-64,-8
-174,-65,-7
-172,-64,-6
-169,-60,-8
-168,-62,-9
175,-35,-178
-168,-63,-8
-167,-61,-9
-169,-62,-7
-167,-64,-8
-168,-63,-8
-166,-62,-8
-167,-64,-10
-167,-61,-8
-167,-64,-8
-168,-61,-7
-166,-62,-8
-167,-60,-8
-168,-60,-7
-167,-60,-8
-166,-60,-10
-167,-61,-9
-166,-61,-9
-167,-62,-9
-165,-61,-11
-166,-61,-9
-165,-60,-9
-167,-59,-8
-168,-62,-7
-168,-61,-8
-168,-62,-9
-168,-62,-8
-166,-62,-11
-170,-61,-8
-168,-61,-10
-168,-57,-10
-169,-63,-9
-172,-61,-7
-171,-63,-8
-173,-61,-7
-172,-64,-9
-173,-65,-8
-174,-64,-7
-174,-64,-7
-174,-63,-8
-172,-64,-8
-175,-62,-7
-171,-62,-9
-174,-63,-6
-174,-61,-5
-174,-62,-4
-176,-59,-2
-171,-57,-6
-174,-54,-3
-170,-50,-6
-171,-44,-6
-169,-44,-5
-168,-47,-7
-169,-49,-6
-174,-61,-2
-175,-61,-1
-171,-48,-4
-178,-61,0
-170,-47,-5
-172,-55,-4
-178,-63,0
-176,-62,0
-177,-30,178
-172,-49,-6
-175,-58,-1
-169,-51,-7
-177,-59,-1
-178,-60,0
-177,-57,0
-176,-59,-2
-175,-62,-2
-177,-60,-1
-178,-62,0
-175,-61,-2
-177,-60,-1
-178,-63,0
-178,-61,0
-175,-62,-4
-177,-61,-1
-177,-62,-1
-178,-61,-1
-176,-64,-2
-178,-62,-2
-178,-63,-1
-178,-61,-1
-178,-64,-2
179,-62,-2
178,-63,0
179,-64,0
179,-64,-1
177,-64,-1
176,-62,0
175,-62,0
176,-64,0
174,-63,0
176,-62,0
177,-60,-1
177,-64,-1
178,-63,-1
177,-64,0
178,-63,0
-177,-62,-2
-178,-63,-1
-179,-60,-1
-177,-62,-2
-176,-62,-3
-179,-60,-1
178,-62,1
-176,-61,-2
179,-61,0
178,-62,1
-179,-61,-1
177,-63,2
178,-62,3
177,-64,2
179,-63,1
177,-64,2
179,-63,1
-179,-62,0
178,-63,1
179,-64,1
177,-65,3
-178,-61,0
-173,-56,-6
-178,-60,-2
-179,-58,0
-179,-60,0
179,-61,0
179,-59,1
-179,-56,0
178,-59,1
175,-59,3
175,-61,4
175,-61,4
177,-62,3
175,-59,4
173,-62,6
172,-63,7
173,-61,6
174,-61,5
174,-61,5
171,-63,7
170,-62,8
170,-60,7
170,-61,7
172,-61,6
171,-63,7
172,-61,5
169,-62,7
171,-57,5
170,-62,5
170,-62,6
171,-61,4
172,-62,4
174,-60,2
174,-60,2
173,-64,2
173,-61,2
174,-62,1
174,-61,0
176,-62,-1
176,-61,0
178,-62,-2
177,-59,-2
-179,-65,-5
-157,59,18
-153,63,21
-159,58,14
-159,60,11
-175,-56,-10
-172,-55,-12
-174,-63,-11
-177,-65,-8
-177,-63,-7
-179,-63,-6
179,-62,-5
179,-62,-4
176,-61,-2
178,-59,-3
176,-61,-1
173,-60,1
174,-60,1
173,-59,1
172,-59,4
170,-58,4
169,-60,6
170,-58,4
173,-61,3
176,-59,-1
179,-58,-4
179,-55,-5
178,-54,-4
-178,-61,-6
179,-59,-6
-176,-59,-6
178,-61,-2
179,-62,-2
178,-59,-2
179,-60,-2
-178,-56,-4
-178,-54,-5
-178,-57,-5
-179,-58,-4
-176,-58,-6
-177,-56,-5
-176,-59,-7
-178,-60,-5
-175,-55,-6
-175,-56,-4
-174,-57,-4
-176,-57,-2
-178,-57,-1
-176,-55,-3
-175,-56,-3
-177,-54,-3
-177,-56,-1
-176,-56,-3
-174,-44,-6
-173,-46,-6
-179,-51,-3
-177,-53,-3
-178,-48,-3
-179,-52,-2
-178,-53,-1
-178,-51,-2
-176,-54,-5
-177,-55,-4
-177,-56,-3
-177,-51,-3
-177,-53,-3
-178,-55,-3
-176,-54,-4
-178,-55,-3
-177,-54,-3
-177,-56,-3
-176,-53,-5
-175,-49,-5
-177,-50,-3
-173,-45,-5
-173,-35,173
-174,-46,-5
-176,-50,-5
-175,-55,-4
-177,-55,-2
-175,-54,-4
-179,-55,-1
179,-57,-1
178,-57,-1
-178,-52,-2
179,-56,-1
179,-54,-1
-179,-56,-2
-178,-48,-4
-179,-46,-3
179,-54,0
179,-53,-2
178,-52,-1
179,-52,-1
178,-50,-1
177,-53,0
176,-57,0
176,-57,0
176,-58,1
176,-58,0
175,-59,1
176,-57,1
175,-56,1
175,-56,1
174,-57,2
174,-58,2
176,-55,1
177,-54,1
175,-55,1
179,-53,0
-179,-55,-1
179,-56,0
176,-55,1
178,-55,1
178,-54,1
179,-52,-3
178,-51,0
176,-56,3
177,-55,1
175,-57,2
177,-52,0
175,-55,2
175,-51,1
175,-51,0
176,-53,1
175,-53,2
175,-53,2
177,-53,1
175,-59,3
175,-54,4
175,-58,3
178,-56,1
176,-56,2
174,-57,4
174,-57,3
176,-53,2
173,-57,4
174,-56,3
177,-53,2
173,-56,4
174,-56,4
173,-57,4
173,-56,4
174,-56,4
175,-56,3
174,-55,3
173,-56,4
173,-56,5
174,-56,4
172,-55,6
173,-55,5
175,-55,3
177,-52,1
173,-56,5
172,-55,6
171,-55,6
174,-55,4
173,-56,6
173,-54,5
175,-54,3
176,-55,3
176,-48,1
173,-55,5
174,-54,4
174,-55,4
174,-52,4
176,-51,3
175,-53,4
-172,-36,173
175,-52,3
170,-59,8
176,-52,4
169,-60,9
173,-53,5
173,-53,6
172,-58,8
169,-60,10
172,-59,8
169,-60,11
173,-51,6
174,-51,6
173,-53,7
174,-53,6
177,-49,2
-179,-48,0
179,-51,1
-179,-51,-1
171,-61,8
173,-61,6
173,-61,6
175,-60,4
176,-61,4
176,-59,3
177,-54,1
177,-52,0
175,-53,2
175,-51,3
174,-52,5
173,-57,7
174,-54,6
173,-54,7
173,-54,8
172,-53,8
170,-56,11
169,-56,12
169,-53,10
173,-53,8
172,-52,9
169,-54,10
170,-56,10
167,-55,12
167,-56,11
165,-54,12
164,-55,11
163,-56,10
160,-51,11
161,-50,9
165,-52,5
170,-53,0
168,-54,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
172,-42,0
175,-38,0
175,-35,-1
174,-35,0
170,-33,2
-175,-10,-10
172,-30,2
172,-29,2
170,-29,4
171,-28,4
172,-27,6
161,45,-15
162,43,-14
164,39,-11
163,44,-13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-174,34,8
0,0,0
0,0,0
0,0,0
-172,15,21
0,0,0
-170,32,10
-166,28,-157
177,0,24
-173,20,27
167,-27,34
178,7,20
168,-36,36
168,-38,34
-168,27,30
-169,26,29
175,8,24
-172,23,26
168,-45,32
-170,23,25
176,-16,22
168,-45,29
-170,28,25
-173,29,23
173,-38,24
173,-44,24
-174,26,21
172,-43,23
174,-38,21
-174,30,18
174,-48,20
173,-50,20
176,-49,16
176,-44,15
177,-48,14
-179,28,10
-179,30,8
-179,31,7
-179,29,5
178,30,3
176,30,0
176,32,-1
175,30,-4
175,31,-5
-170,-54,-6
173,29,-11
173,33,-13
174,30,-15
175,31,-17
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
163,30,-26
160,22,-24
161,22,-20
162,24,-23
164,25,-21
165,23,-18
177,12,-12
179,9,-8
172,-14,4
0,0,0
177,-13,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-179,-45,2
178,-38,1
-175,-44,-3
-173,-53,-5
-173,-52,-5
-171,-53,-6
-173,-54,-5
-168,-53,-8
-170,-56,-7
-171,-55,-7
-167,-47,-8
-173,-56,-5
-174,-57,-3
-175,-57,-2
-176,-57,-1
-175,-58,-2
0,0,0
0,0,0
-177,-54,-5
-175,-48,-9
0,0,0
0,0,0
0,0,0
-176,-20,-14
-171,-7,-8
-173,-43,-13
-173,-28,-14
-174,-46,-12
-173,-45,-11
-173,-44,-10
-165,-30,-12
-173,-45,-7
168,-15,4
168,-10,3
166,-20,2
168,-25,2
170,-26,1
173,-30,1
174,-33,0
175,-37,0
175,-36,0
175,-38,0
169,-10,0
169,-9,-1
169,-23,0
176,-36,-1
179,-42,-4
-179,-42,-4
-178,-47,-4
-178,-47,-4
-177,-48,-5
-178,-47,-5
-178,-46,-5
-178,-48,-5
-179,-46,-5
-178,-46,-5
179,-47,-4
-178,-49,-5
-179,-45,-4
-179,-46,-5
179,-44,-5
178,-43,-5
178,-45,-4
179,-43,-5
179,-46,-6
179,-45,-5
-179,-44,-6
179,-45,-5
179,-44,-4
-179,-42,-5
179,-43,-4
-179,-43,-4
179,-43,-4
179,-43,-4
179,-42,-3
179,-43,-3
179,-46,-2
-177,-32,-5
178,-45,-2
-179,-45,-4
168,-27,1
171,-25,0
174,-25,-3
177,-27,-5
179,-27,-7
0,0,0
-173,-43,-7
-172,-40,-8
-172,-41,-8
-170,-45,-10
-169,-44,-10
-168,-47,-11
-174,-45,-3
-171,-46,-10
-176,-42,-2
-170,-47,-10
-168,-48,-11
-172,-47,-8
-172,-47,-8
-171,-48,-9
-176,-41,-7
-176,-43,-5
-179,-41,-4
-178,-45,-6
176,-33,-3
-179,-43,-6
-179,-41,-7
179,-44,-7
-179,-44,-7
-179,-44,-6
179,-44,-5
-179,-43,-6
179,-42,-5
179,-42,-5
-179,-45,-4
179,-45,-3
179,-43,-3
178,-43,-2
178,-43,-2
178,-44,-2
177,-42,-1
179,-44,-1
178,-42,-1
178,-41,-2
179,-42,-2
177,-40,-1
178,-42,-1
177,-42,0
177,-42,-1
176,-40,0
177,-39,-1
179,-43,-2
177,-41,-1
177,-41,0
177,-44,0
177,-44,0
177,-43,0
