Y,X,Z
-173,-55,-3
-173,-53,-3
-172,-55,-4
-172,-55,-4
-173,-52,-3
-173,-53,-3
-173,-56,-3
-173,-52,-4
-174,-55,-2
-173,-55,-3
-175,-55,-3
-174,-55,-4
-172,-55,-3
-173,-55,-3
-174,-54,-2
-175,-54,-1
-171,-50,-4
-173,-50,-3
-174,-51,-2
-174,-55,-1
-175,-53,-1
-174,-53,-1
-173,-45,-3
-174,-53,-1
-176,-52,0
-175,-53,0
-176,-52,0
-171,-34,-5
-176,-50,0
-176,-50,-1
-176,-51,0
-176,-51,0
-177,-52,0
-177,-49,0
-177,-51,0
-178,-45,-1
179,-46,0
-178,-49,0
-178,-49,0
-178,-48,0
-177,-50,0
-178,-48,0
-177,-48,0
-177,-49,0
-178,-44,0
-179,-45,1
-179,-44,1
-178,-48,1
-178,-48,0
-179,-48,0
-178,-49,1
179,-47,2
-178,-45,1
-179,-48,1
179,-47,1
179,-46,1
179,-47,2
179,-48,1
178,-46,2
177,-46,3
177,-46,3
176,-43,2
176,-37,2
175,-41,3
175,-45,4
176,-45,4
175,-44,5
173,-40,5
173,-41,5
172,-39,6
172,-39,6
171,-41,7
171,-39,7
171,-38,7
171,-38,8
170,-34,7
170,-36,7
169,-35,8
170,-36,8
169,-36,9
169,-35,8
170,-37,10
168,-34,10
169,-32,9
168,-34,10
168,-34,11
167,-30,10
168,-37,11
169,-37,11
169,-37,11
169,-38,11
168,-36,12
169,-39,12
169,-36,11
170,-37,10
171,-32,9
171,-23,6
170,-33,8
171,-36,10
169,-36,10
169,-36,11
168,-32,9
169,-40,12
169,-40,12
168,-39,11
168,-41,12
169,-41,11
168,-41,12
169,-39,11
169,-42,11
169,-41,12
168,-41,12
169,-41,11
168,-41,12
168,-38,11
168,-41,12
169,-41,12
168,-42,12
168,-42,13
168,-41,12
169,-43,13
168,-41,12
168,-41,12
167,-41,12
168,-40,12
167,-37,11
167,-39,12
167,-36,10
167,-37,11
167,-39,11
167,-38,11
167,-37,10
167,-38,11
169,-17,4
169,-23,5
170,-25,5
170,-23,5
171,-22,4
170,-26,4
170,-26,5
168,-29,7
169,-31,7
169,-42,12
168,-41,11
169,-41,11
169,-41,11
169,-41,11
168,-42,11
169,-42,11
169,-42,10
168,-41,11
168,-41,10
168,-42,10
168,-42,10
168,-42,10
167,-43,11
168,-43,10
168,-43,10
169,-42,10
168,-43,10
170,-26,5
169,-26,5
168,-42,10
168,-43,10
168,-43,10
168,-42,9
167,-42,10
168,-40,9
169,-43,9
168,-37,8
169,-38,8
170,-33,6
170,-23,2
173,-24,2
174,-22,1
177,-23,1
172,-30,3
175,-26,1
174,-26,2
173,-41,7
173,-41,7
173,-43,8
172,-43,8
174,-43,8
173,-40,7
176,-33,3
176,-36,5
175,-39,5
174,-40,6
175,-43,6
175,-43,7
175,-43,6
175,-41,7
175,-43,6
176,-42,6
176,-42,6
175,-40,6
175,-42,6
174,-42,6
173,-43,7
174,-43,7
175,-41,6
176,-42,6
176,-42,5
177,-41,5
177,-41,4
178,-39,3
176,-41,5
176,-42,6
178,-35,4
179,-36,4
178,-35,3
-178,-37,2
-179,-35,3
-179,-33,2
179,-34,2
-178,-32,2
-179,-36,3
178,-37,4
178,-39,4
179,-38,3
179,-39,4
-179,-38,3
-178,-36,2
178,-38,4
-178,-35,1
179,-38,4
-179,-36,3
-177,-32,1
-168,-38,1
178,-42,5
-178,-36,3
-179,-36,2
179,-42,5
178,-43,5
178,-43,5
176,-21,5
178,-36,4
178,-38,5
179,-33,3
-179,-34,3
-179,-34,3
179,-41,6
179,-42,5
-178,-39,5
-179,-38,4
-179,-36,4
-179,-38,4
-178,-35,3
-179,-39,5
-177,-39,3
-179,-37,2
-179,-35,2
-176,-34,0
179,-35,1
-177,-32,0
-179,-36,1
178,-39,3
179,-36,2
-178,-37,1
178,-37,3
-177,-34,1
-177,-34,2
-177,-36,1
