Y,X,Z
-178,-42,-1
179,-42,0
179,-43,0
179,-44,0
178,-41,0
178,-39,0
178,-42,1
178,-39,1
177,-42,1
178,-41,1
177,-41,1
178,-41,1
178,-41,1
176,-41,2
-179,-42,0
178,-41,2
176,-41,2
-179,-39,1
-179,-41,1
-178,-40,0
-179,-41,1
-177,-41,0
-179,-41,0
-177,-40,0
-177,-40,0
-177,-41,0
-177,-43,0
-174,-41,-2
-177,-6,-2
0,0,0
-170,-40,-5
-164,-30,-5
-174,-42,-2
-171,-42,-5
-173,-42,-3
-168,-29,-6
-170,-41,-6
-172,-43,-4
-170,-31,-4
-162,-14,-8
-171,-40,-5
-172,-42,-4
-173,-40,-3
-174,-40,-2
-174,-39,-2
-175,-41,-1
-176,-40,0
-176,-40,0
-176,-40,0
-176,-34,-2
-177,-32,-1
-178,-39,0
-178,-40,1
-179,-41,1
-179,-36,1
179,-42,2
179,-42,3
178,-40,3
177,-41,4
177,-42,5
176,-42,5
174,-42,6
175,-41,6
174,-42,6
174,-41,6
174,-42,7
173,-39,8
173,-41,7
174,-41,7
173,-41,7
173,-40,8
172,-40,9
171,-39,9
171,-41,9
171,-39,9
170,-37,9
170,-38,8
171,-38,9
169,-39,10
170,-36,10
170,-35,9
170,-36,9
170,-33,8
168,-36,10
169,-36,11
169,-36,10
168,-34,10
169,-34,10
169,-34,10
168,-35,10
168,-33,10
168,-32,10
167,-31,10
167,-30,11
166,-30,11
167,-30,11
167,-29,12
166,-27,12
167,-28,12
167,-29,12
167,-27,12
168,-30,12
169,-30,12
172,42,0
168,-30,12
172,41,1
174,46,0
174,47,0
172,45,-1
171,43,-2
175,-36,8
177,-31,5
172,43,-3
170,37,-3
170,37,-4
170,36,-3
170,36,-3
170,36,-2
172,-30,6
171,37,-2
170,32,-2
171,34,-3
171,33,-2
171,36,-3
170,37,-3
171,38,-3
174,-27,3
171,35,-4
170,39,-5
175,-38,5
170,42,-6
173,40,-6
176,-35,2
172,38,-7
179,-37,1
178,-30,1
178,-33,0
-179,-32,0
-178,-28,0
177,-31,0
177,-36,0
-179,-43,1
-179,-24,-1
179,-40,1
178,-38,0
178,-38,2
177,-39,2
177,-43,3
177,-39,2
177,-40,3
176,-41,3
177,-43,3
176,-40,3
175,-45,4
175,-44,4
176,-42,3
177,-42,2
174,-42,4
174,-42,4
175,-43,4
174,-42,4
174,-31,4
174,-30,4
174,-42,4
175,-40,3
173,-30,3
173,-37,4
173,-41,5
172,-44,6
176,-25,0
172,-40,6
171,-40,7
167,-39,9
163,-25,8
169,-41,7
173,-45,5
171,-40,5
171,-35,4
171,-37,5
172,-37,4
173,-35,4
168,-39,6
163,-35,8
163,-34,8
164,-38,8
167,-39,6
165,-35,6
166,-38,8
164,-40,9
167,-37,7
164,-38,8
165,-40,9
172,-30,-2
-169,-30,166
-166,32,176
170,-17,-1
173,-24,0
-172,-33,171
169,-16,-2
-172,-41,171
172,-40,3
166,-37,8
171,-38,4
166,-38,8
165,-35,8
-174,-42,175
161,-36,11
169,-43,6
173,-34,1
173,-35,2
174,-37,1
179,-32,0
177,-34,-1
-179,-35,1
-168,-28,-4
-172,-34,171
176,-37,-1
179,-13,-6
-167,-18,-6
176,-33,-2
174,-42,3
175,-43,1
-179,-30,-1
-164,-32,167
-167,-34,170
-166,-31,167
-179,-32,-1
-164,-32,170
-179,-33,0
-176,-31,-2
-177,-24,-2
-176,-25,-4
-173,-21,-4
-162,-32,168
-179,-33,-1
178,-36,1
179,-37,0
178,-36,1
178,-36,1
179,-36,1
178,-38,4
179,-37,3
-168,-38,173
176,-36,4
177,-37,4
-168,-38,173
178,-35,4
179,-38,2
178,-39,3
174,-41,5
177,-42,4
178,-38,4
-172,-26,0
-174,-29,0
-174,-32,1
-173,-32,0
-175,-27,0
-175,-32,1
-172,-34,1
