Y,X,Z
166,-41,-1
166,-41,-1
166,-36,-5
170,-27,-5
172,-30,-6
177,-27,-8
174,-4,-13
-167,-14,162
165,-27,-7
166,-29,-7
164,-28,-6
164,-34,-4
165,-28,-5
166,-35,-3
165,-16,-9
165,-37,-1
165,-39,0
163,-41,0
167,-40,0
167,-47,1
168,-44,0
167,9,-14
169,-45,0
168,5,-14
168,10,-14
169,-49,1
169,-45,0
168,-45,1
170,8,-13
171,-54,2
170,-52,2
171,-50,0
172,-50,0
174,-50,0
175,-52,0
175,-50,-1
178,-53,-2
178,-50,-3
178,-51,-3
176,-50,-2
176,-51,-2
175,-51,-1
176,-52,-1
179,-52,-4
179,-52,-4
176,-52,-2
178,-53,-2
177,-54,-1
178,-47,-2
178,-53,-1
-178,-48,-4
-179,-51,-2
-178,-52,-3
-177,-51,-4
-178,-50,-2
-177,-51,-3
-179,-50,-2
179,-52,0
178,-52,0
178,-52,0
178,-52,0
179,-36,2
179,-49,2
179,-49,0
-179,-48,-1
-177,-47,-1
179,-51,0
179,-50,0
-179,-50,0
179,-52,0
179,-50,0
179,-50,0
-179,-50,0
-177,-50,-1
-179,-51,0
-179,-50,0
-179,-49,0
-178,-51,0
-179,-51,0
-178,-50,0
179,-52,1
178,-51,0
179,-44,1
-175,-51,-2
-176,-52,-2
-172,-52,-5
179,-49,0
-171,-50,-4
-174,-54,-4
-179,-54,-1
-177,-55,-3
-175,-57,-5
-178,-55,-2
-167,-50,-8
-168,-58,-7
-170,-59,-7
-169,-59,-6
-173,-57,-4
-175,-58,-5
171,-36,12
173,-41,16
174,-46,6
169,-36,11
169,-38,14
170,-46,7
171,-43,11
165,-30,10
172,-41,12
171,-34,8
167,-33,8
164,-32,9
175,-36,2
174,-44,2
176,-43,7
175,-49,3
177,-50,3
-178,-52,0
178,-46,3
175,-47,4
177,-48,5
177,-49,2
174,-49,5
178,-50,2
177,-49,3
175,-49,4
177,-47,4
179,-46,3
-175,-45,1
179,-55,1
-178,-55,0
-179,-55,1
-179,-55,0
179,-55,1
-178,-55,0
-177,-55,0
-179,-54,0
-177,-55,0
-178,-54,0
-179,-53,0
-178,-53,0
-176,-53,-1
-178,-54,1
-178,-53,1
-179,-54,1
-177,-51,0
175,-52,4
177,-54,2
-178,-51,0
-179,-51,1
-179,-51,1
-177,-52,0
-178,-53,1
-179,-53,2
178,-52,2
179,-52,1
176,-50,3
179,-51,2
177,-50,2
179,-51,0
-179,-53,0
-179,-53,0
179,-53,1
178,-53,0
177,-52,0
175,-53,1
179,-54,0
176,-53,2
177,-54,2
176,-52,3
178,-49,3
-179,-43,2
-176,-49,-5
174,-57,2
167,-56,7
173,-58,3
175,-58,2
174,-60,3
173,-60,4
175,-60,2
173,-61,4
174,-57,3
174,-59,3
168,-59,7
166,-57,8
167,-59,8
169,-58,7
169,-58,7
168,-59,9
168,-59,8
166,-59,10
164,-51,13
166,-52,14
165,-53,14
167,-54,15
169,-54,12
164,-54,13
174,-52,6
170,-52,8
172,-53,6
171,-50,4
172,-50,3
173,-49,2
158,-53,15
156,-55,17
157,-54,16
156,-55,18
157,-56,16
155,-54,16
154,-54,16
156,-55,16
160,-54,13
158,-55,15
157,-56,15
158,-54,13
162,-53,11
168,-50,5
163,-52,8
170,-50,4
169,-50,3
169,-48,3
170,-52,3
171,-51,3
169,-53,4
171,-53,5
152,-51,16
156,-51,12
156,-52,12
156,-53,13
156,-54,14
156,-52,13
160,-52,10
151,-51,14
154,-51,14
152,-52,14
153,-52,14
151,-52,15
158,-53,12
152,-52,17
156,-54,14
155,-52,13
160,-52,12
155,-51,15
154,-50,18
158,-52,15
164,-52,12
161,-53,14
159,-52,15
163,-51,12
162,-53,13
159,-51,15
161,-50,13
161,-49,14
162,-50,12
160,-48,15
160,-49,14
155,-53,12
160,-52,9
154,-54,12
162,-54,8
153,-55,14
163,-53,7
157,-50,12
156,-52,14
160,-54,10
157,-52,13
155,-53,13
-170,-32,168
152,-51,14
154,-51,13
156,-50,12
157,-50,11
157,-50,10
157,-51,9
159,-50,9
157,-50,12
156,-49,11
157,-51,11
-167,-32,165
157,-48,11
-167,-33,165
157,-48,10
157,-48,10
155,-52,12
155,-46,11
156,-49,11
159,-48,9
157,-48,10
157,-46,11
159,-48,10
159,-49,9
158,-47,10
156,-48,11
157,-47,11
170,-47,4
170,-48,5
169,-49,5
168,-46,4
168,-50,6
170,-48,5
161,-51,11
157,-50,14
165,-50,6
160,-54,11
160,-52,11
156,-52,13
159,-51,12
157,-52,12
161,-53,10
175,-46,-1
165,-54,8
177,-51,0
166,-56,7
171,-50,9
171,-51,6
170,-51,7
163,-51,11
162,-54,10
165,-55,8
163,-54,9
176,-51,0
174,-52,0
165,-55,7
164,-55,8
166,-56,6
168,-57,4
169,-56,3
168,-57,4
165,-56,6
169,-56,3
165,-54,6
169,-55,3
162,-52,8
171,-58,1
171,-58,1
171,-58,1
172,-59,1
168,-59,3
171,-58,1
173,-59,0
174,-58,0
173,-58,0
173,-59,0
172,-58,1
174,-58,0
173,-57,1
171,-58,1
172,-57,0
174,-58,0
174,-52,1
173,-49,1
174,-51,2
171,-51,3
173,-49,2
174,-51,3
171,-48,3
171,-47,3
170,-44,4
169,-40,6
169,-29,4
170,-32,4
172,-58,1
175,-56,-1
175,-55,0
173,-59,0
173,-54,1
171,-53,2
173,-56,1
172,-55,1
172,-59,1
171,-55,1
169,-54,2
169,-50,3
167,-45,5
170,-53,2
167,-45,4
163,-40,4
166,-43,3
166,-47,3
166,-52,3
164,-51,4
165,-50,3
167,-49,2
163,-49,5
0,0,0
0,0,0
162,-54,5
-164,54,-1
0,0,0
0,0,0
-164,54,0
-162,55,0
-162,57,1
-161,56,1
-164,54,0
-163,56,0
-162,55,1
-160,56,3
-162,53,0
-162,56,0
-163,57,0
-160,54,0
172,-64,-1
172,-62,-1
172,-64,-1
174,-63,-3
173,-62,-3
173,-63,-3
173,-63,-3
173,-61,-2
-164,48,0
-170,36,-4
-162,57,1
-165,56,0
-162,59,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-165,62,-1
-162,55,-1
-166,60,-2
-165,58,-2
-165,59,-2
-163,58,-1
0,0,0
-167,59,-3
-165,60,-4
-166,58,-4
-167,58,-5
-168,57,-6
-159,32,-7
-167,56,-6
-167,54,-5
0,0,0
-165,52,-4
-166,55,-5
-167,56,-8
-167,58,-5
-169,37,-10
-169,56,-9
-169,55,-10
-171,57,-10
-170,53,-10
-171,53,-11
-169,54,-10
-170,53,-10
-171,51,-11
-170,50,-12
-171,55,-12
-172,54,-13
-171,54,-13
-172,52,-13
-172,51,-14
-171,51,-13
-172,52,-13
-172,50,-15
-174,49,-16
-173,48,-15
170,-65,-6
170,-66,-6
170,-66,-7
-171,46,-13
-173,42,-17
172,-67,-9
174,-67,-11
175,-65,-11
-176,44,-23
-176,42,-21
-176,42,-23
-176,43,-25
-176,42,-25
-174,38,-20
-177,41,-26
-177,47,-24
-177,43,-23
-172,39,-21
-175,49,-22
-173,45,-19
-173,49,-21
-173,52,-19
-170,47,-14
-174,53,-18
-171,51,-13
-169,55,-13
-172,54,-14
-172,54,-14
-175,53,-18
-178,53,-21
-176,50,-19
-176,48,-20
-179,50,-24
-176,48,-21
-176,47,-21
