,Hand_L,Hand_R,Elbow_L,Elbow_R,Forearm_L,Forearm_R,Shoulder_L,Shoulder_R,Shoulder_pitch_L,Shoulder_pitch_R
0,-2855.3507525529103,2569.8668189179193,-1800.3352613668915,1396.7205856008966,2264.8106199867107,-2573.9503356613372,-2331.4654614567758,2184.822538694108,788.6891110355073,467.77290626303994
1,-2640.70648959778,2672.8914485097107,-1989.95421946432,1445.5943055332193,2326.6106577278974,-2601.5039767057187,-2312.4143005643464,2172.2922088555783,827.5284719591652,534.9380202044395
2,-2745.288115190444,2628.0225322224474,-1767.0115224767642,1386.747867080832,2323.8938532682437,-2469.2921384241504,-2315.949526193707,2177.875945846879,730.994911382789,388.9185446253126
3,-2808.9713134425233,2579.4696613615733,-1708.7877041287372,1362.5061420009993,2319.501707464029,-2444.5857867778136,-2316.1933766479574,2179.736253384854,660.4366331027661,334.6803761694288
4,-2805.3639179040333,2589.754096989025,-1529.732805285456,1343.5480319266728,2272.128405937189,-2430.5610645413362,-2322.663461699496,2180.642660565924,669.7149232891229,240.51273080455175
5,-2837.786192923776,2747.7568255914316,-1464.5066156454632,1265.5286064322381,2310.785018988374,-2426.9514169025933,-2324.255042535548,2183.917779190221,641.5250974208055,192.8497179496101
6,-2789.5622929587257,2868.5848349313555,-1411.4794185221588,1268.4630407082789,2418.0741702643186,-2468.5142302621866,-2305.1129955649176,2196.1495553428226,511.83187541370137,173.35012285326215
7,-2854.4005481076333,2821.1217402807033,-1469.219501496674,1308.222399328147,2350.31091112695,-2522.974859490849,-2307.691096644489,2209.0176271920955,454.62774570365656,140.88484584661305
8,-2844.5225527290413,2775.3890140880744,-1417.9927795345502,1330.2131442831735,2276.5598223343013,-2420.622541599247,-2309.2855545156503,2210.825813412211,406.58678038270045,28.28156375289397
9,-2793.147075710619,2738.8972118362763,-1367.583463395071,1330.9122818917633,2292.0456239673304,-2365.514019001639,-2297.6656641689888,2212.089451055557,400.3149846916246,6.051202252573262
10,-2727.489996766055,2806.1516828089257,-1348.028801503621,1362.9484990382982,2408.990247460405,-2517.985298066339,-2281.406726900641,2200.7424575230752,356.8657882994547,-21.942975350021214
11,-2496.579091266303,2850.3404678462434,-1248.9176006069854,1410.512593909111,2550.485535189169,-2664.034459342736,-2270.176124810577,2211.2758151024304,223.74881292579988,-83.39940459709271
12,-2481.1075682952014,2863.872588472922,-1285.5555163851357,1491.3357352553228,2603.2254420290847,-2724.179930396883,-2249.86482827259,2208.836565981571,197.59116771861628,-107.52522037685934
13,-2708.5443024283054,2895.0841105425893,-1309.2800375517502,1631.6867905051408,2555.642948765676,-2656.5080049162184,-2249.323043156952,2191.804744787681,168.64579181973394,-21.793295588897596
14,-3171.9432584346337,2895.1996205027367,-1430.4766975282805,1733.7121857144116,2395.989226986122,-2446.1372511779555,-2261.284724825209,2176.5473508328914,111.35327908976048,66.30710445885622
15,-3588.349139155609,2710.9072502863582,-1482.9641172416657,1835.7134144764505,2069.5818313604645,-2196.441589573561,-2282.2554323219556,2171.225563419709,59.58675450571187,82.39679639026264
16,-3416.4620457137767,2890.759413481472,-1445.9882207449505,1847.1249535922518,2045.04683429837,-2125.783769979176,-2272.6771613943524,2164.1888599298854,41.21274125851941,79.30989449958547
17,-3141.2221598898877,3007.842110245846,-1368.8496406610348,1879.5677276494962,2258.949487385757,-2304.3032644159553,-2254.481915110863,2171.2558053929447,12.026520954681535,71.31281495328128
18,-2999.101073080191,2847.6877033074106,-1296.371859271692,1789.8370311374115,2444.9298584913845,-2489.400014214679,-2245.636817701744,2223.259171926519,-25.196833133089054,-54.73615679657122
19,-3216.8198488656203,2814.142286157906,-1186.8444293533335,1790.989804492874,2314.83382008408,-2009.604136265646,-2273.2402077222055,2278.8523290227436,8.818911982575154,-183.40853846070672
20,-3355.166524731331,2645.672923787607,-1158.7838915622453,1497.7021198229454,2281.1492642414632,-1797.2411878468668,-2308.7002648008643,2343.929597932787,-7.255298662763603,-348.10860176242073
21,-3251.4726550022406,2733.9323192565344,-1061.5639062401156,1404.9496258631843,2310.3743732255207,-1839.9604048502101,-2348.086526356946,2359.4567191449296,-39.07586828529959,-466.48324658848367
22,-3188.3482240931894,2802.5954470785473,-1185.403564070883,1610.0588908273278,2417.9542439211086,-1983.1957359320272,-2325.83736667758,2284.7480912683654,-171.37194146716402,-414.2977919314239
23,-3153.3347823442073,2911.672035713329,-1210.8731294077054,1585.9008622863914,2307.4460276602035,-2051.477371709004,-2317.599895741186,2225.840714942876,-183.40621616111076,-383.07215639524765
