No,Foot_L,Foot_R,Foot_pitch_L,Hand_L,Foot_pitch_R,Hand_R,Knee_L,Elbow_L,Thigh_pitch_L,Elbow_R,Thigh_pitch_R,Forearm_L,Knee_R,Forearm_R,Hiproll_L,Shoulder_L,Hiproll_R,Shoulder_R,Hip,Moe,Hip_R,Head,Shoulder_pitch_L,Head_pitch,Shoulder_pitch_R
1,0,0,1674,-2995,-1674,2015,3348,-1888,-3348,1775,1674,51,-1674,-184,0,-2016,0,2199,0,261,0,916,1072,-271,-1028
2,4.652173913,6.760869565,1669.076087,-3000.902174,-1668.163043,2015,3350.173913,-1890.326087,-3346.336957,1775.108696,1685.597826,53.16304348,-1683.23913,-183.6956522,-4.695652174,-2018.228261,-5.869565217,2193.141304,0,261.6086957,0,917.5869565,1072,-271,-1028
3,9.304347826,13.52173913,1664.152174,-3006.804348,-1662.326087,2015,3352.347826,-1892.652174,-3344.673913,1775.217391,1697.195652,55.32608696,-1692.478261,-183.3913043,-9.391304348,-2020.456522,-11.73913043,2187.282609,0,262.2173913,0,919.173913,1072,-271,-1028
4,13.95652174,20.2826087,1659.228261,-3012.706522,-1656.48913,2015,3354.521739,-1894.978261,-3343.01087,1775.326087,1708.793478,57.48913043,-1701.717391,-183.0869565,-14.08695652,-2022.684783,-17.60869565,2181.423913,0,262.826087,0,920.7608696,1072,-271,-1028
5,18.60869565,27.04347826,1654.304348,-3018.608696,-1650.652174,2015,3356.695652,-1897.304348,-3341.347826,1775.434783,1720.391304,59.65217391,-1710.956522,-182.7826087,-18.7826087,-2024.913043,-23.47826087,2175.565217,0,263.4347826,0,922.3478261,1072,-271,-1028
6,23.26086957,33.80434783,1649.380435,-3024.51087,-1644.815217,2015,3358.869565,-1899.630435,-3339.684783,1775.543478,1731.98913,61.81521739,-1720.195652,-182.4782609,-23.47826087,-2027.141304,-29.34782609,2169.706522,0,264.0434783,0,923.9347826,1072,-271,-1028
7,27.91304348,40.56521739,1644.456522,-3030.413043,-1638.978261,2015,3361.043478,-1901.956522,-3338.021739,1775.652174,1743.586957,63.97826087,-1729.434783,-182.173913,-28.17391304,-2029.369565,-35.2173913,2163.847826,0,264.6521739,0,925.5217391,1072,-271,-1028
8,32.56521739,47.32608696,1639.532609,-3036.315217,-1633.141304,2015,3363.217391,-1904.282609,-3336.358696,1775.76087,1755.184783,66.14130435,-1738.673913,-181.8695652,-32.86956522,-2031.597826,-41.08695652,2157.98913,0,265.2608696,0,927.1086957,1072,-271,-1028
9,37.2173913,54.08695652,1634.608696,-3042.217391,-1627.304348,2015,3365.391304,-1906.608696,-3334.695652,1775.869565,1766.782609,68.30434783,-1747.913043,-181.5652174,-37.56521739,-2033.826087,-46.95652174,2152.130435,0,265.8695652,0,928.6956522,1072,-271,-1028
10,41.86956522,60.84782609,1629.684783,-3048.119565,-1621.467391,2015,3367.565217,-1908.934783,-3333.032609,1775.978261,1778.380435,70.4673913,-1757.152174,-181.2608696,-42.26086957,-2036.054348,-52.82608696,2146.271739,0,266.4782609,0,930.2826087,1072,-271,-1028
