1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-90,0,0,0,0,3.52E-31,0,0,3.52E-31,-4.83E-07,5.43E-06,-7.97E-06,0,0,-8.26E-32,0,0,-8.26E-32,-1.77E-05,5.38E-06,6.48E-07,0,-1.32E-47,0
-68.301,-20.987,-41.868,-52.876,-66.038,-16.074,-33.469,-70.508,2.548,-4.83E-07,5.43E-06,-7.97E-06,85.779,-106.38,83.31,-12.958,-102.48,-51.34,-1.77E-05,5.38E-06,6.48E-07,7.2547,29.355,-19.756
-69.786,-20.98,-40.388,-52.34,-58.297,-10.326,-34.818,-65.491,4.4101,-4.83E-07,5.43E-06,-7.97E-06,83.627,-39.828,18.123,-7.2617,-97.739,-47.214,-1.77E-05,5.38E-06,6.48E-07,7.0335,27.458,-18.008
-69.829,-20.808,-40.155,-52.315,-58.336,-9.7788,-35.004,-65.132,4.4962,-4.83E-07,5.43E-06,-7.97E-06,83.304,-40.499,19.017,-7.1809,-97.626,-47.567,-1.77E-05,5.38E-06,6.48E-07,6.9155,27.965,-18.298
-69.911,-20.546,-39.815,-52.258,-58.263,-9.3595,-35.124,-64.627,4.828,-4.83E-07,5.43E-06,-7.97E-06,82.817,-40.551,19.377,-7.1098,-97.345,-47.819,-1.77E-05,5.38E-06,6.48E-07,6.7112,28.721,-18.832
-70.062,-20.375,-39.421,-52.02,-57.907,-9.9019,-35.014,-64.441,5.2319,-4.83E-07,5.43E-06,-7.97E-06,82.201,-41.438,20.482,-7.0717,-96.844,-47.634,-1.77E-05,5.38E-06,6.48E-07,6.6646,29.504,-19.277
-70.174,-19.979,-38.816,-51.864,-56.807,-9.5522,-34.365,-64.645,5.3333,-4.83E-07,5.43E-06,-7.97E-06,81.478,-41.721,20.961,-7.0141,-96.203,-47.116,-1.77E-05,5.38E-06,6.48E-07,6.6946,30.387,-19.69
-70.22,-19.391,-38.06,-51.797,-55.174,-8.1684,-33.306,-65.117,5.1406,-4.83E-07,5.43E-06,-7.97E-06,80.685,-41.382,20.799,-6.9123,-95.508,-46.482,-1.77E-05,5.38E-06,6.48E-07,6.8236,31.421,-20.004
-70.27,-19.019,-37.477,-51.594,-54.407,-7.8396,-32.658,-65.329,5.1872,-4.83E-07,5.43E-06,-7.97E-06,79.866,-41.483,21.037,-6.7721,-94.903,-46.291,-1.77E-05,5.38E-06,6.48E-07,7.2045,32.726,-19.957
-70.319,-19.34,-37.369,-51.339,-53.582,-7.4913,-32.123,-65.443,5.2646,-4.83E-07,5.43E-06,-7.97E-06,79.151,-41.28,20.775,-6.6757,-94.255,-46.278,-1.77E-05,5.38E-06,6.48E-07,7.6685,34.089,-20.012
-70.357,-20.451,-37.803,-51.044,-52.333,-6.6696,-31.564,-65.515,5.327,-4.83E-07,5.43E-06,-7.97E-06,78.61,-40.678,19.882,-6.6345,-93.526,-46.29,-1.77E-05,5.38E-06,6.48E-07,8.1178,35.353,-20.355
-70.36,-20.822,-37.798,-50.612,-51.695,-6.121,-30.987,-65.283,5.8708,-4.83E-07,5.43E-06,-7.97E-06,78.124,-41.566,20.598,-6.5958,-92.903,-46.295,-1.77E-05,5.38E-06,6.48E-07,8.6959,36.49,-20.233
